,positive1,positive2,positive3,control1,control2,control3
URIAAL_R14196,5.99675992,5.634394532,6.703472728,6.153957941,6.221068499,7.113695017
URIAAL_R08250,4.363545172,4.777125374,5.004475073,4.689988651,4.363545172,4.363545172
URIAAL_R14197,6.249708194,6.110726274,6.611096347,6.568671742,6.31280267,7.051455257
URIAAL_R08251,4.363545172,4.363545172,4.363545172,4.926588771,4.965656574,4.363545172
URIAAL_R08262,4.363545172,4.777125374,4.818598514,4.824231677,4.363545172,5.000689288
URIAAL_R14208,11.47903321,10.80045248,11.57792055,11.33152822,11.01417142,10.82786805
URIAAL_R14198,7.578546498,7.150681159,8.541122198,8.433970048,7.070648093,6.967052927
URIAAL_R14207,9.688888872,9.758136737,9.668906953,9.519417621,9.451097056,9.413693217
URIAAL_R08261,4.363545172,4.363545172,4.363545172,5.087435481,4.790835485,4.363545172
URIAAL_R08253,4.363545172,4.363545172,4.363545172,4.926588771,4.363545172,4.363545172
URIAAL_R08252,5.403613926,5.773944293,5.078689628,7.505667691,4.666235093,4.363545172
URIAAL_R14206,9.542495231,10.31328018,9.900180947,9.888483488,10.29451776,10.05001541
URIAAL_R15620,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R08260,4.891955851,4.363545172,4.363545172,5.087435481,4.363545172,4.363545172
URIAAL_R14205,6.619058741,8.509750399,8.454311624,7.435866541,5.817460607,6.856265456
URIAAL_R08259,10.31011415,8.72594801,9.900180947,10.09952394,9.237071369,9.788839708
URIAAL_R08258,11.28197135,10.5240888,10.86288509,9.953099375,11.04741294,10.705564
URIAAL_R14204,6.575480211,6.449951317,6.327177097,6.998028463,6.294985452,6.60296174
URIAAL_R08257,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04898,5.00894176,4.363545172,4.363545172,5.593011071,4.885923333,4.363545172
URIAAL_R04921,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15456,5.268971085,4.946467387,4.818598514,4.363545172,5.155862306,4.768462915
URIAAL_R04923,4.738226096,6.030025419,5.904741953,5.216595778,5.392096277,4.934336631
URIAAL_R04900,13.76575401,13.48457222,14.27933797,13.86669927,14.71581584,13.28234597
URIAAL_R08019,8.798112745,8.620352943,8.770467149,8.608948654,9.121532341,8.410505164
URIAAL_R04924,12.77575924,12.44349437,13.13095854,12.40638752,13.21313034,12.57364743
URIAAL_R07997,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R07998,9.275990173,9.133494924,9.556604135,9.148579038,9.362096479,9.179671937
URIAAL_R04925,5.00894176,5.825044428,5.456495784,6.517023044,5.098372679,5.60916277
URIAAL_R04899,4.363545172,4.363545172,4.363545172,4.363545172,5.098372679,4.934336631
URIAAL_R04926,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R07999,4.363545172,4.363545172,5.145389309,4.689988651,4.363545172,4.363545172
URIAAL_R07995,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R07984,4.363545172,4.363545172,5.262800844,4.363545172,4.363545172,4.363545172
URIAAL_R04956,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04917,10.43325882,11.06820694,11.00376969,10.78039275,10.84041763,10.84653457
URIAAL_R04927,6.990966758,7.668600987,6.703472728,6.585445511,5.610890998,6.640468923
URIAAL_R07994,6.640320202,6.681164854,6.459112213,6.106231894,6.036443225,5.548683995
URIAAL_R08014,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08020,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.768462915
URIAAL_R04954,8.091676787,8.620352943,8.600061714,8.714765976,7.64408522,7.857678963
URIAAL_R08000,6.410382631,7.919563957,6.012324482,6.650484905,5.610890998,7.230347279
URIAAL_R04916,5.763217136,5.84973321,4.685980511,6.712483265,5.209098481,4.768462915
URIAAL_R04953,4.891955851,5.182500828,4.363545172,4.824231677,4.790835485,4.363545172
URIAAL_R07993,6.332593726,6.577406075,6.1343018,6.948069594,6.39831251,6.256128527
URIAAL_R04928,8.952746924,9.185132786,8.742853328,8.577224363,8.770622692,8.403542113
URIAAL_R07992,9.355099379,9.860864842,9.216564197,9.085238911,9.828559334,8.704626455
URIAAL_R07996,4.363545172,5.360144269,4.919731905,5.01234472,5.098372679,5.548683995
URIAAL_R04929,9.121618028,9.155236336,8.872721538,8.940209937,8.641537603,8.974633855
URIAAL_R04930,9.216213304,9.884467104,10.57815007,8.77889121,10.43860297,10.27105239
URIAAL_R04915,11.07249563,12.25651521,13.17317823,12.29228666,11.38575535,11.59686833
URIAAL_R08001,9.686444661,9.877949596,10.30185482,9.829256238,8.967299471,8.953377997
URIAAL_R04914,12.1457748,12.69452386,13.64095136,13.07364795,13.07626455,12.61082852
URIAAL_R04931,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04955,4.738226096,4.777125374,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R07991,11.42730451,11.33496435,11.14005303,10.73720389,11.07443933,11.38822758
URIAAL_R08015,4.891955851,4.777125374,4.363545172,4.363545172,5.349969239,5.165669828
URIAAL_R08016,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04919,10.20478398,9.74530239,9.738608225,10.08553288,9.897623442,10.6131034
URIAAL_R08002,11.67473726,11.43199364,11.63524213,11.24356812,11.23331085,11.6666218
URIAAL_R04913,9.355099379,9.398820528,10.05529071,9.196275022,9.449219611,9.185757906
URIAAL_R07990,13.51801012,12.63646551,13.16509206,12.57478781,12.84633605,12.87310057
URIAAL_R04912,5.719008711,5.014186365,5.004475073,5.593011071,5.098372679,5.63808552
URIAAL_R08003,4.363545172,5.825044428,5.456495784,5.833548159,4.965656574,4.650333526
URIAAL_R04932,9.592964127,9.901275978,10.05529071,9.161987274,10.17244976,9.531430366
URIAAL_R08004,8.373801365,8.259082795,8.415434444,8.259845629,8.197089512,7.723628124
URIAAL_R07989,5.99675992,5.7203168,4.818598514,5.66753605,5.098372679,5.666211823
URIAAL_R04950,4.363545172,4.363545172,4.363545172,5.154913227,4.363545172,4.363545172
URIAAL_R08005,5.403613926,6.464745811,5.262800844,5.377081874,5.50778211,4.858662109
URIAAL_R04933,11.21066089,11.14346918,11.35435673,11.11382548,11.39016215,10.93520452
URIAAL_R04911,8.877508597,8.859190248,9.506244185,9.096456823,8.877922612,9.300498299
URIAAL_R04910,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.858662109
URIAAL_R08006,8.851527725,9.165985082,9.915693624,8.304190641,9.847207411,9.637311128
URIAAL_R04934,4.891955851,4.363545172,5.539660706,4.689988651,5.305661948,5.299767048
URIAAL_R04922,4.363545172,4.363545172,5.539660706,4.926588771,4.363545172,5.213003633
URIAAL_R04909,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R04908,4.363545172,4.363545172,5.206368921,4.363545172,4.363545172,5.165669828
URIAAL_R07988,12.23456135,11.98335633,12.46713928,11.12549319,12.42015657,12.69633809
URIAAL_R08007,9.545196033,9.536003742,10.32294674,9.00416401,10.09055196,9.75379028
URIAAL_R07987,7.038905383,6.63030229,7.46017096,6.712483265,7.920277462,7.569280867
URIAAL_R04935,9.301781156,9.758136737,10.68427456,8.892721421,9.867023734,9.706631169
URIAAL_R08008,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
