,positive1,positive2,positive3,control1,control2,control3
URIAAL_R00627,4.363545172,4.363545172,4.363545172,5.216595778,4.363545172,4.363545172
URIAAL_R14831,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R00337,6.097918978,5.540547154,6.157282142,5.553567254,5.577707526,5.579384528
URIAAL_R00659,5.268971085,4.363545172,5.206368921,4.363545172,4.885923333,4.363545172
URIAAL_R00626,6.530406858,6.449951317,7.343990144,6.909362709,6.493916998,7.078474499
URIAAL_R00658,9.476108578,9.234981763,9.203974891,9.082420711,8.785599565,9.330100071
URIAAL_R00668,8.468161872,8.356415296,8.419806604,7.408769207,9.080861443,8.926964466
URIAAL_R00667,10.53181673,10.2631558,10.45300121,9.80384136,10.9041194,11.29242258
URIAAL_R00657,13.90856673,12.82165726,14.09567423,12.59393363,13.16779533,13.18139426
URIAAL_R00298,11.98710519,11.80288843,11.58521155,10.99987045,11.62804946,11.95608524
URIAAL_R15204,14.06613355,14.08629315,14.40516327,12.4248346,13.95094189,14.21581319
URIAAL_R00346,10.65063038,10.68949067,11.07593775,9.030725501,10.89725523,10.53984524
URIAAL_R15612,6.575480211,6.63030229,7.008333068,5.950424909,6.732074048,6.59021875
URIAAL_R00625,4.891955851,4.777125374,5.539660706,5.553567254,5.674164526,5.548683995
URIAAL_R00297,5.624597821,5.572825096,5.616246526,5.424478923,6.142456428,5.934901004
URIAAL_R00319,4.363545172,4.363545172,4.685980511,4.363545172,4.790835485,4.363545172
URIAAL_R00318,4.363545172,4.363545172,4.685980511,4.363545172,4.363545172,4.363545172
URIAAL_R14830,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R00644,10.30693644,10.92196959,10.9323811,9.968429513,10.65833925,11.1269511
URIAAL_R00643,6.7021339,8.10614395,8.30628541,6.896211938,8.250014132,7.922683522
URIAAL_R00317,6.780336961,7.030798105,6.1343018,6.757162493,5.733803569,5.548683995
URIAAL_R00316,8.361556821,8.604613105,8.6455296,8.259845629,8.146790225,7.912874291
URIAAL_R00315,4.363545172,4.86921915,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R00314,4.363545172,4.363545172,4.363545172,4.363545172,4.885923333,5.060393588
URIAAL_R00296,12.17786675,12.16288894,12.55070112,11.42335577,12.51646296,12.29777946
URIAAL_R00642,8.439336385,9.122499768,9.26826879,8.333008188,9.531371589,9.009376593
URIAAL_R00622,11.69796463,11.52207038,11.60591049,10.70919693,11.63260254,11.92644398
URIAAL_R00295,4.891955851,4.946467387,4.363545172,4.363545172,4.790835485,4.650333526
URIAAL_R00313,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R00312,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.934336631
URIAAL_R00343,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R00342,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15408,5.846575098,6.834245654,5.498990869,6.517023044,6.446999968,6.469586992
URIAAL_R14631,10.45638752,11.28364072,10.68789175,11.07753867,11.06221735,11.00734173
URIAAL_R12884,8.779857111,9.791813138,8.076033931,8.038344041,8.80924243,9.254922087
URIAAL_R12883,9.644245861,9.360043363,11.05087691,10.13391884,10.22822486,9.681025376
URIAAL_R12881,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.768462915
URIAAL_R12882,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15407,5.924129206,7.458447248,6.346880929,6.93528906,5.577707526,5.666211823
URIAAL_R15046,4.738226096,5.014186365,5.456495784,4.363545172,5.944230311,5.339906261
URIAAL_R12878,9.826218336,9.19985128,10.33337813,9.552356457,9.374021984,9.965357924
URIAAL_R15045,5.00894176,5.98751827,5.498990869,5.326964755,5.432305026,5.257569707
URIAAL_R03859,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R03868,4.363545172,4.363545172,4.363545172,5.154913227,4.363545172,4.363545172
URIAAL_R15044,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R03866,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R14844,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R03869,8.259635082,8.663527563,9.661563696,8.333008188,8.758527726,7.729240801
URIAAL_R12875,5.805686801,5.920700049,6.157282142,6.08164292,6.55395074,6.824412637
URIAAL_R03861,13.57771797,13.15264668,13.16541638,13.51983972,12.77193347,12.79672157
URIAAL_R03858,11.53101467,10.49543049,10.64294344,10.5884185,10.50964003,11.23739731
URIAAL_R03870,10.29094195,9.185132786,10.03838555,9.198879011,9.549008316,10.9935466
URIAAL_R12877,5.805686801,5.360144269,5.816821732,6.08164292,5.577707526,5.720279544
URIAAL_R03865,4.363545172,4.363545172,4.363545172,5.950424909,4.363545172,4.363545172
URIAAL_R03857,10.01917994,9.661250758,10.3551552,9.183183928,9.999879169,10.40303087
URIAAL_R14843,7.651273858,9.104730852,9.426157339,7.851236856,8.601451038,9.078623728
URIAAL_R03862,7.201649308,7.507173423,6.658087901,7.703853961,7.257355374,6.511048911
URIAAL_R12874,6.160910052,6.404520936,6.761681047,5.593011071,6.381663852,6.205273952
URIAAL_R03864,8.784442816,8.791336876,9.417462149,8.93083691,8.791546862,9.152997862
URIAAL_R03863,4.363545172,4.363545172,4.363545172,4.926588771,4.363545172,4.363545172
URIAAL_R03856,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R12873,5.106768862,4.363545172,4.818598514,5.630955528,4.885923333,4.768462915
URIAAL_R12879,10.18414834,10.07884164,10.89688008,9.468552486,9.754499182,10.84461471
URIAAL_R12880,6.817794699,6.655977202,6.422781928,6.666257463,5.209098481,6.077714856
URIAAL_R03867,7.840562047,7.26913036,7.380775622,7.104196116,6.934137876,6.91780994
URIAAL_R12876,5.106768862,5.276213501,5.539660706,5.01234472,5.733803569,5.213003633
URIAAL_R12872,4.363545172,4.363545172,4.363545172,4.824231677,4.666235093,4.363545172
URIAAL_R11876,6.435295496,7.370765502,5.876193263,7.768903071,6.364795256,5.890647783
URIAAL_R11877,8.128334664,9.864825491,7.416618793,8.692738332,8.462845059,7.033142904
URIAAL_R08759,4.363545172,4.946467387,4.363545172,5.154913227,4.363545172,4.363545172
URIAAL_R08758,4.363545172,4.656489436,5.365066786,5.01234472,5.258845731,4.650333526
URIAAL_R11900,6.065145808,6.357420852,6.327177097,6.463243587,6.347700167,8.026344753
URIAAL_R08690,6.619058741,7.001583526,6.844521831,6.056538929,6.509186468,6.780738341
URIAAL_R11837,5.463885147,5.276213501,5.539660706,5.950424909,4.965656574,5.257569707
URIAAL_R11901,10.47065683,9.464700337,9.336748301,9.910874653,9.733061579,9.882921871
URIAAL_R11891,6.305567801,5.319231539,6.223744788,7.137841531,5.944230311,6.03864687
URIAAL_R11878,11.14634601,9.645985708,12.75586878,11.22454801,10.93326867,10.90235803
URIAAL_R11974,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11879,11.25913878,10.06169257,10.48246015,10.90748141,10.9412993,11.62136857
URIAAL_R11880,4.363545172,4.777125374,4.363545172,5.154913227,4.363545172,4.768462915
URIAAL_R11899,5.106768862,4.363545172,4.363545172,4.363545172,5.098372679,4.934336631
URIAAL_R11887,8.336748945,7.704743933,9.096364598,8.714765976,8.228199897,8.461676309
URIAAL_R08660,9.957685531,10.26015234,9.761112373,10.78212839,10.27134177,10.23241321
URIAAL_R08661,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.768462915
URIAAL_R14859,6.817794699,7.227977439,6.307161417,7.264799689,7.176436155,8.298576131
URIAAL_R11881,5.268971085,5.075108153,5.816821732,5.770179009,5.098372679,5.484200565
URIAAL_R08679,9.967783137,9.784861824,9.329813379,10.08412628,9.954296431,9.916220334
URIAAL_R11898,8.205813974,7.862192313,7.46017096,8.927698937,7.721483918,8.543099188
URIAAL_R08662,10.76271754,10.86578675,10.41093965,11.1758707,10.5824859,10.82592317
URIAAL_R08663,9.550582495,8.813400566,8.777288438,9.89972255,9.018881469,9.578424519
URIAAL_R08664,5.573906482,5.399204779,5.262800844,5.377081874,4.363545172,5.484200565
URIAAL_R15310,4.363545172,4.363545172,5.004475073,4.363545172,4.790835485,4.363545172
URIAAL_R08665,4.363545172,4.363545172,4.363545172,5.01234472,4.666235093,4.650333526
URIAAL_R11973,6.553137326,5.540547154,6.803737763,6.348449597,5.733803569,6.455466424
URIAAL_R08666,7.054519961,7.293250429,7.425438103,7.333835826,7.941935914,7.805569118
URIAAL_R11972,9.914485769,11.30225043,10.35742851,10.4983717,11.4434338,10.37758388
URIAAL_R08769,8.645124564,9.60710014,9.750769495,8.964909976,9.783092185,9.564486541
URIAAL_R11971,12.67247203,11.33496435,11.80555058,11.44980162,11.5196015,12.17303986
URIAAL_R08757,11.76026665,10.69097818,11.94695866,11.37702465,11.87055584,10.82786805
URIAAL_R11970,4.363545172,4.363545172,4.363545172,5.154913227,4.363545172,4.363545172
URIAAL_R11890,11.53848353,11.07448852,11.21340923,10.98412365,11.54089659,11.46812319
URIAAL_R08756,6.741805977,7.650176985,7.353277652,7.929056957,7.96855338,7.023894344
URIAAL_R08767,7.321912924,7.674689331,7.143914064,7.857887161,7.770827036,7.254117166
URIAAL_R15312,7.651273858,7.984511328,6.871043568,7.929056957,7.818509876,7.285191546
URIAAL_R11882,5.886016973,6.373314806,5.904741953,7.126717216,6.036443225,6.60296174
URIAAL_R08667,8.507567586,8.9365991,8.611564476,9.309026708,8.288460107,8.350211062
URIAAL_R15396,6.031447138,4.946467387,5.315501485,6.666257463,5.577707526,5.666211823
URIAAL_R11906,7.384500116,6.888783175,7.196698577,7.604275412,6.830933883,6.986263456
URIAAL_R11969,10.09114828,10.37751231,10.100783,10.99837814,10.58419661,10.15498491
URIAAL_R11895,4.363545172,4.946467387,4.363545172,4.926588771,4.790835485,5.060393588
URIAAL_R08689,4.363545172,4.363545172,4.363545172,5.833548159,5.258845731,4.363545172
URIAAL_R11985,5.624597821,4.363545172,4.363545172,4.824231677,5.098372679,4.363545172
URIAAL_R08668,8.988939223,10.67753499,8.746334232,10.08553288,9.720666793,8.444821538
URIAAL_R11986,6.681846849,8.051292404,6.11087821,7.274873843,6.732074048,5.484200565
URIAAL_R08670,4.363545172,6.464745811,4.363545172,4.363545172,6.221068499,5.213003633
URIAAL_R08669,4.363545172,4.363545172,4.363545172,4.363545172,5.209098481,4.363545172
URIAAL_R08764,10.40232829,10.16272704,10.53260817,9.985106468,10.40898544,10.04109928
URIAAL_R08671,9.464740445,8.610929776,9.705072152,9.519417621,9.571617911,10.14253467
URIAAL_R11883,10.51814275,10.49543049,10.39995407,10.15148508,10.41284142,11.01589717
URIAAL_R11884,8.660180074,8.604613105,8.611564476,8.813316889,9.279964248,8.514316861
URIAAL_R08755,9.87639811,9.591247202,9.219068898,9.330554745,9.632438218,9.632865863
URIAAL_R08725,11.62521765,12.02640631,12.27943623,12.23007491,12.10098364,12.14211394
URIAAL_R08672,4.363545172,4.363545172,4.363545172,5.424478923,5.035531377,4.363545172
URIAAL_R08726,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08727,8.629909431,9.555744239,8.784077487,10.00902455,9.403410671,10.52073371
URIAAL_R08673,4.363545172,4.363545172,4.363545172,4.363545172,4.666235093,5.165669828
URIAAL_R11885,4.363545172,4.777125374,4.363545172,5.326964755,4.363545172,4.363545172
URIAAL_R11949,7.578546498,6.508142096,6.8310635,8.279724471,7.203936682,8.030881974
URIAAL_R08674,7.610175408,6.81179987,7.787756874,8.44280502,8.401861445,8.478335124
URIAAL_R11886,7.396688335,7.202687722,7.371669571,6.9732772,6.509186468,7.550334505
URIAAL_R15399,8.385942071,8.055944825,7.247547603,7.80379136,7.708874705,9.093809324
URIAAL_R08659,9.435921224,10.08790508,8.700410693,11.08529122,9.803803535,9.908886871
URIAAL_R11896,4.363545172,4.946467387,4.363545172,6.004681015,4.790835485,4.934336631
URIAAL_R08728,9.843871021,9.81519991,8.467039728,10.35762446,9.056389002,10.11305904
URIAAL_R11950,12.4087823,12.85404779,12.27403254,13.57893709,12.47580886,12.20456455
URIAAL_R08729,11.6611169,11.70801379,11.92183898,11.19879134,12.30352356,11.47682518
URIAAL_R08730,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08658,4.363545172,4.656489436,4.363545172,5.087435481,4.363545172,4.363545172
URIAAL_R08657,4.363545172,5.075108153,5.004475073,5.154913227,4.363545172,5.060393588
URIAAL_R08731,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.768462915
URIAAL_R08656,8.89457186,9.316339468,8.820854337,9.096456823,9.107308827,9.102415375
URIAAL_R11875,7.384500116,9.063929714,8.488005182,9.096456823,7.504837357,7.751471645
URIAAL_R08655,5.886016973,6.14913368,5.262800844,5.863920621,5.704406029,6.115548223
URIAAL_R11951,9.066247181,9.091258645,9.037964037,9.529792148,9.305099605,9.313524029
URIAAL_R11874,11.89595725,12.69988932,12.32020546,12.43865428,12.50950383,12.82539357
URIAAL_R11952,15.99960818,14.90556819,15.52206616,15.68525091,15.16030402,15.11578626
URIAAL_R11953,7.671383171,7.791258889,7.510710527,8.32824539,7.358412033,7.374464401
URIAAL_R08732,7.02311127,6.765754915,7.746357787,7.022340396,7.875944912,7.130973781
URIAAL_R11954,4.363545172,4.363545172,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R11859,5.106768862,5.014186365,5.004475073,6.106231894,4.790835485,5.060393588
URIAAL_R08733,12.55453414,11.0115975,12.39844226,11.30400854,11.72387736,11.70733289
URIAAL_R11955,10.86455906,10.54809053,11.1140759,10.34005586,10.82313754,10.62060267
URIAAL_R08734,10.69018877,10.37935884,10.50005669,10.00010171,10.60625315,10.4726456
URIAAL_R08735,11.83385151,11.003839,10.95056221,11.11589136,10.01264238,11.88377098
URIAAL_R11873,9.764991816,11.46322884,9.500080942,9.332926998,10.50151534,9.586109964
URIAAL_R08736,13.43313613,13.19545253,14.02996053,14.14156286,14.01003372,12.87858325
URIAAL_R11956,9.854795152,8.506364646,10.02843187,9.793548575,9.76358999,9.163315719
URIAAL_R08654,5.106768862,4.86921915,5.365066786,5.66753605,4.790835485,4.858662109
URIAAL_R08653,7.795557429,7.527549899,7.898890393,6.985708788,7.266062303,8.209478902
URIAAL_R08685,11.31950319,11.18944417,10.76440143,11.18048406,11.230583,10.88875868
URIAAL_R08652,9.427161789,9.594431776,9.285099012,10.15282751,9.614125146,9.985250794
URIAAL_R11872,10.77311632,9.495692136,10.09398183,9.395543602,9.197343563,10.91277949
URIAAL_R08737,7.359800495,8.371391999,7.847673976,7.89067951,8.123327671,7.424023696
URIAAL_R11957,9.476108578,9.298870177,8.794201271,8.995200031,9.383885008,8.969937413
URIAAL_R08738,9.755695861,10.02912469,9.764543569,9.880401589,10.29764945,9.995672217
URIAAL_R08739,6.575480211,6.823069398,7.055026465,6.534466852,7.283314481,7.69522593
URIAAL_R11871,6.249708194,5.436618703,5.411947784,6.26572751,5.50778211,5.37823485
URIAAL_R11870,5.00894176,4.363545172,5.721272924,5.922312734,4.363545172,5.257569707
URIAAL_R08740,11.37592745,11.28905247,11.48483051,11.16859119,11.58811763,11.55795342
URIAAL_R11869,10.90924242,12.17489673,11.57694562,11.11106637,11.55622845,11.7676746
URIAAL_R08741,7.858171783,7.513998431,7.898890393,7.497129874,7.562197892,8.245007239
URIAAL_R11958,11.04701402,11.12708032,12.0695097,11.75651245,11.28207714,10.83239593
URIAAL_R08742,6.761209711,6.536289275,7.122223228,6.948069594,6.900600433,8.135656259
URIAAL_R11987,8.397980697,9.091258645,9.251239462,8.370550503,9.8400636,9.058860836
URIAAL_R08743,10.78115275,11.49890589,10.76611342,10.84076357,11.250648,11.02270517
URIAAL_R08744,5.403613926,5.825044428,6.266148849,6.727542667,6.239962715,6.018619882
URIAAL_R08651,10.1979382,9.549194085,10.62229772,9.542143748,10.91095105,10.8560957
URIAAL_R08745,4.891955851,4.363545172,4.363545172,4.363545172,4.965656574,4.363545172
URIAAL_R11959,4.363545172,4.363545172,4.919731905,4.363545172,4.790835485,4.363545172
URIAAL_R08746,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08747,4.363545172,4.363545172,4.363545172,4.824231677,4.666235093,4.363545172
URIAAL_R08748,6.031447138,5.540547154,5.846902511,6.106231894,5.869891152,5.115040819
URIAAL_R08749,7.610175408,7.355602796,7.972413156,7.333835826,7.248593616,7.956492676
URIAAL_R08676,5.99675992,6.274814056,6.223744788,6.618365353,6.294985452,6.712444482
URIAAL_R08750,5.624597821,5.634394532,6.422781928,6.106231894,6.364795256,5.414953896
URIAAL_R11868,10.37830869,10.68053322,10.54861247,10.26631963,10.20617305,9.942794926
URIAAL_R08751,11.16401311,10.78312285,10.96851701,10.22224469,10.26282092,10.67275489
URIAAL_R11867,4.891955851,4.777125374,4.363545172,4.363545172,4.790835485,4.934336631
URIAAL_R08650,5.719008711,5.319231539,4.919731905,4.363545172,4.790835485,5.60916277
URIAAL_R11960,4.363545172,6.204569259,6.286822642,6.106231894,5.674164526,5.771723865
URIAAL_R08752,10.18414834,10.60758524,9.805093061,9.9203654,10.39540776,9.864084824
URIAAL_R11866,9.999628202,10.66472255,10.18767515,10.40345376,10.61213426,10.44164946
URIAAL_R08753,11.58905623,12.75211801,11.54339997,11.67339219,11.90346766,11.31154355
URIAAL_R08754,6.941288325,7.599837859,6.909878618,8.73286766,7.676851071,7.816145285
URIAAL_R11961,4.363545172,5.276213501,4.818598514,5.469511828,5.258845731,5.213003633
URIAAL_R11962,12.06580381,11.96533994,11.88253093,11.34156712,11.94499394,11.87752577
URIAAL_R11865,5.672876026,5.360144269,5.876193263,6.004681015,4.965656574,5.45022945
URIAAL_R11864,5.520473026,5.075108153,5.411947784,4.824231677,5.098372679,4.768462915
URIAAL_R11979,7.201649308,6.718074974,6.476901221,6.727542667,6.568538265,7.315587966
URIAAL_R11963,10.45064003,10.57250658,9.616700405,9.928226897,10.46669731,10.76158229
URIAAL_R11964,9.339621469,7.625231795,7.753342175,8.740044919,6.818966066,7.683703448
URIAAL_R11965,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,5.45022945
URIAAL_R11966,4.363545172,4.363545172,4.685980511,4.363545172,4.363545172,5.000689288
URIAAL_R11968,4.363545172,4.946467387,5.145389309,4.824231677,4.363545172,4.650333526
URIAAL_R11967,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15704,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11978,4.363545172,4.363545172,4.363545172,5.737053834,4.363545172,4.363545172
URIAAL_R11989,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08616,9.734558082,10.35046831,10.50005669,8.87327782,10.43860297,10.16322574
URIAAL_R11834,8.811653817,9.448950714,9.046453553,9.815757431,8.835383699,9.201862441
URIAAL_R08722,8.718870972,8.934084854,8.760174085,8.515781024,7.708874705,8.800378745
URIAAL_R08721,5.00894176,5.360144269,5.004475073,5.216595778,4.363545172,4.768462915
URIAAL_R08720,6.305567801,6.590830439,6.909878618,6.130329575,7.590025243,6.90774417
URIAAL_R11835,10.97677665,11.06648902,11.42215438,10.46957736,11.05545085,11.34043931
URIAAL_R11947,10.19622166,9.839555576,10.2205174,9.16731578,9.996028066,11.04850882
URIAAL_R08719,5.763217136,5.436618703,6.179837966,5.424478923,6.998836387,6.382444222
URIAAL_R11836,11.29726158,11.46192264,11.8076299,10.955954,11.50025399,11.22662727
URIAAL_R11838,6.681846849,6.823069398,6.201986741,7.069709537,6.639145061,6.256128527
URIAAL_R08617,5.403613926,5.075108153,4.363545172,4.363545172,4.885923333,4.363545172
URIAAL_R11991,6.553137326,8.579064557,7.247547603,8.049985169,7.72774665,7.130973781
URIAAL_R11980,8.699572725,9.911523305,9.544677341,9.159315603,9.48814097,9.833423901
URIAAL_R15395,9.062478898,10.36078618,9.909508573,9.500553067,9.847207411,10.29749665
URIAAL_R15397,4.363545172,5.014186365,4.363545172,4.363545172,4.363545172,5.37823485
URIAAL_R11839,7.701020765,7.378285652,8.329721395,7.78993889,6.854556274,8.955755337
URIAAL_R11840,12.39874514,12.89543542,12.4241481,12.62448343,13.07778299,12.11556075
URIAAL_R11841,4.363545172,4.363545172,4.363545172,4.824231677,4.363545172,4.363545172
URIAAL_R11842,11.86226569,12.21136861,12.33815357,11.72166803,12.54988881,11.96140974
URIAAL_R11903,5.805686801,5.799792167,7.502412471,6.08164292,6.757479048,7.92756288
URIAAL_R11904,11.54118992,11.13475163,11.79006971,10.55327487,11.22511177,11.40959437
URIAAL_R08762,9.128842372,9.098010519,8.977091407,7.972559854,8.488730301,8.919675744
URIAAL_R08691,4.363545172,4.656489436,4.363545172,4.689988651,4.363545172,4.363545172
URIAAL_R11843,4.363545172,4.363545172,4.363545172,5.01234472,4.885923333,4.363545172
URIAAL_R11907,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R08618,4.363545172,4.363545172,4.363545172,4.824231677,4.885923333,4.363545172
URIAAL_R11908,6.575480211,6.64320192,7.51895991,5.833548159,8.118588516,8.044407594
URIAAL_R08619,10.19965269,9.602362548,9.779883645,9.296926108,10.13208231,10.17039802
URIAAL_R11909,4.363545172,4.777125374,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R11844,4.363545172,4.363545172,4.363545172,5.01234472,4.790835485,4.363545172
URIAAL_R11977,5.463885147,5.965671312,4.363545172,4.926588771,4.790835485,5.257569707
URIAAL_R08692,9.185367333,8.234703122,8.287256204,7.935353692,8.305220971,8.912349876
URIAAL_R08620,8.106453153,10.01137016,8.837264855,10.30426316,9.053918701,9.127928893
URIAAL_R08621,8.156997736,7.227977439,8.315705921,6.985708788,7.841763443,8.264370177
URIAAL_R08622,7.758496338,8.404527512,6.909878618,8.279724471,7.194830308,7.767918775
URIAAL_R11910,4.363545172,4.363545172,4.363545172,5.01234472,4.363545172,4.363545172
URIAAL_R08623,4.363545172,5.436618703,4.363545172,4.363545172,4.790835485,4.934336631
URIAAL_R11911,6.530406858,5.965671312,7.5674659,6.634522533,7.2918611,8.740941008
URIAAL_R11912,6.410382631,5.572825096,6.545717908,5.377081874,5.704406029,7.642618684
URIAAL_R11845,10.64183042,10.63179723,10.3955363,9.995619493,10.19725702,10.80435459
URIAAL_R11846,6.553137326,7.407968595,7.334640483,6.030894245,8.005000941,7.826643198
URIAAL_R11913,9.195722956,9.47510521,9.066069707,8.747186484,9.397580721,9.536199373
URIAAL_R08624,11.57987244,11.07334845,11.12812169,10.8457514,11.19911532,11.27447151
URIAAL_R11975,9.070005619,9.291037479,9.020833179,8.612865314,8.580979756,9.262619036
URIAAL_R11847,9.99568583,9.980067929,9.445531664,9.45989754,9.714429188,9.727627145
URIAAL_R08625,5.403613926,6.130081955,6.595053781,5.326964755,6.221068499,6.441189846
URIAAL_R11914,7.701020765,8.205724397,8.1674337,7.941622676,8.788576291,8.536752861
URIAAL_R08683,8.890324998,9.165985082,8.652969461,8.60108311,8.940797542,9.002494873
URIAAL_R11915,9.433007328,9.559008181,9.391057056,8.806497436,9.471589011,9.65933403
URIAAL_R08693,14.43109079,14.84021688,15.25631211,14.35918135,14.62733852,14.49913097
URIAAL_R08694,9.459022551,8.856536753,9.500080942,9.45989754,8.417352476,9.239403603
URIAAL_R11916,8.718870972,8.737535974,8.603906225,8.214081049,8.350325868,8.789753226
URIAAL_R15398,5.624597821,5.276213501,5.687429516,5.630955528,5.305661948,5.45022945
URIAAL_R08626,11.19527864,11.12543115,12.24363781,11.21043879,11.33383114,11.08799267
URIAAL_R08695,5.719008711,7.618926021,7.325227804,6.602008157,6.41474748,7.277487723
URIAAL_R08649,6.889731742,8.422610134,7.559496708,7.711231004,7.64408522,8.144049796
URIAAL_R11917,9.382547123,9.466439711,8.947173044,9.33529535,9.615799623,9.344675804
URIAAL_R11848,9.975810599,10.13676039,9.587934442,10.0060564,10.54168866,9.910111709
URIAAL_R15313,8.714070674,8.832432189,7.689206491,8.540675175,8.52133883,8.448208392
URIAAL_R08627,6.065145808,6.291774289,6.346880929,6.056538929,5.155862306,6.239407342
URIAAL_R08768,8.427641813,6.493837188,7.681897492,6.786142574,5.895214605,8.287264806
URIAAL_R11988,5.192272678,6.240187647,6.761681047,6.28692339,7.429680058,6.205273952
URIAAL_R11918,10.28287767,10.40677689,10.16319292,9.991123296,10.96578265,9.996825515
URIAAL_R11919,8.007550497,8.115084247,7.416618793,8.342486491,6.889234995,7.630657341
URIAAL_R08696,11.78331052,11.32637672,11.34006151,11.05689812,11.46308849,11.442121
URIAAL_R08628,11.06874887,10.11918578,10.85405845,10.85732302,11.05545085,10.08838782
URIAAL_R08629,10.86239636,10.39221883,10.55357761,10.63238017,10.46019075,10.75000441
URIAAL_R11920,7.730050187,8.898415726,8.879075262,8.433970048,8.197089512,8.233262321
URIAAL_R11921,7.943088248,7.168234525,6.897056548,6.922387578,6.55395074,7.374464401
URIAAL_R08770,5.268971085,5.663832205,5.145389309,6.19988695,5.50778211,5.115040819
URIAAL_R11922,6.799195996,10.19558967,6.179837966,8.337755187,5.869891152,5.820836068
URIAAL_R11976,7.975684228,8.440467315,7.49406515,8.388958779,7.610541179,8.393033641
URIAAL_R08697,9.171442888,10.47312448,9.868645554,9.475009734,10.07116072,10.01856468
URIAAL_R11850,9.882816359,10.28892707,9.701496207,10.63430326,9.679631186,9.595278704
URIAAL_R08630,4.891955851,6.373314806,6.385394979,6.882932665,6.582965508,6.36732673
URIAAL_R11923,4.363545172,4.363545172,4.363545172,4.363545172,4.666235093,4.934336631
URIAAL_R08698,5.268971085,5.572825096,5.456495784,6.551680922,5.098372679,5.934901004
URIAAL_R11924,8.513109568,8.696562217,9.479344223,8.532425057,8.680534752,9.181703454
URIAAL_R15314,6.990966758,7.728336227,7.814699544,7.148877037,7.676851071,7.893050421
URIAAL_R08766,7.372204821,8.298813965,8.696816516,8.20890444,8.40574994,8.7546672
URIAAL_R11982,5.00894176,5.84973321,5.904741953,5.702868692,5.258845731,5.820836068
URIAAL_R08631,14.25394883,13.51763613,13.14566271,13.64169498,13.55194954,13.78481304
URIAAL_R08699,5.520473026,4.946467387,6.459112213,5.087435481,4.790835485,7.606426251
URIAAL_R08632,8.851527725,8.872384721,8.6455296,8.10680637,8.815092844,8.715898303
URIAAL_R08633,10.93210698,12.03463,10.40435835,10.80791534,11.36102495,11.20932566
URIAAL_R08700,4.363545172,5.436618703,5.456495784,5.833548159,5.869891152,5.63808552
URIAAL_R08686,5.268971085,5.399204779,5.578693395,5.154913227,5.674164526,5.956403081
URIAAL_R11925,12.02819731,11.5733733,11.40467737,11.42112991,11.73200089,11.33953083
URIAAL_R11927,11.44186064,10.94272062,10.53562254,11.35095211,10.69283981,11.7713845
URIAAL_R11928,9.592964127,8.360174187,9.386608747,8.879788292,7.979062525,8.974633855
URIAAL_R11897,4.363545172,4.86921915,5.078689628,4.363545172,5.035531377,4.363545172
URIAAL_R11929,10.17720364,10.82775394,10.68336884,10.21840339,10.48787163,10.61835698
URIAAL_R11930,11.24675673,11.67306956,11.59487592,10.98412365,11.40813884,11.56690799
URIAAL_R08634,10.14196932,11.43909183,9.81835992,9.97906442,10.72110253,10.95313445
URIAAL_R11984,9.379523084,10.6601732,9.54667201,9.627693852,7.702527714,7.92756288
URIAAL_R08635,6.220812071,8.037243327,6.44107503,6.48141871,7.060616207,7.767918775
